Hash,Date,Author,Files Changed,Message
bf96942b80a5d90dc4d3f19189b5b224447da61e,Tue May 13 06:25:08 2025 -0400,Sean Ditny,2,Update website for 1.2.1 release (#3692)
bc7321d78008f0d516a157ee8f8bfa15cdda3b4d,Sun May 11 14:02:59 2025 -0400,Sean Ditny,5,Fix some routineWithClusterLoadingClicks (#3680)
49b6bccb0207a5289b05ed23a2e8d84c5c9c4e27,Fri May 2 13:52:20 2025 -0500,Grant Shangreaux,2,Fix: links to development docs no longer in repo (#3663)
bead9848c1c8d276fd85692f9f3103b25753e171,Fri Apr 25 14:48:05 2025 -0400,Sean Ditny,5,Refactor InstrumentClipView scrollVertical (#3619)
e90ff977b6f3ab3ebedbc614b5fa265e46924d86,Tue Apr 22 13:08:40 2025 -0400,Sean Ditny,5,Website/ Add Deluge Tutorials Reference Page (#3638)
6b671a07157dc9bb09f0d8e2537b52d77d2f6ba7,Mon Apr 21 16:46:54 2025 +0200,mgabor,4,Attempt to fix website PR workflows (#3631)
0591a30bd348d0a56932eb12a160237bb3340651,Mon Apr 21 00:45:34 2025 +0200,mgabor,2,Fix asset reference case (#3628)
294f559b3bccd7dd2aabaf08780948f03df439ed,Mon Apr 21 00:00:32 2025 +0200,mgabor,3,Fix build errors (#3627)
db1dc994d54b24d989e34d9f4315a37ea972138a,Sun Apr 20 17:37:55 2025 -0400,Sean Ditny,2,Add documentation re-direct links (#3622)
f30cff0f1c3442f102e6102e48206fe792f39af1,Sun Apr 20 17:20:45 2025 -0400,Sean Ditny,2,Refactor View Mod Encoder Action and Mod Encoder Button Action (#3603)
7638ca230d94bfa5a125ba75bfa0535a5eadc0d2,Sun Apr 20 17:12:59 2025 -0400,Sean Ditny,5,De-duplicate some transpose logic (#3590)
e6a26f52222d8f46f4ac97b1031b4c276d5d6469,Sun Apr 20 17:10:58 2025 -0400,Sean Ditny,2,Fix vertical scrolling note dropping bug in automation view (#3615)
515db1787af35e7ceb57586fa6a8ce82fda002fa,Sun Apr 20 17:10:41 2025 -0400,Sean Ditny,2,Website/ Add Applications Page (#3623)
40f8af13b35914126bd3d0ddcd54d35cf8a2445e,Sun Apr 20 17:10:32 2025 -0400,Sean Ditny,3,"Feature/ Added Tempo, Root Note and Scale to Audio Export file names (#3620)"
982cd678b7efa92460f53cfc50f37b79f0f022a4,Sun Apr 20 16:51:23 2025 -0400,Katherine Whitlock,2,Minor cleanup in GranularProcessor (#3605)
f57c08cb6dccd30be4c670fab08750baf52db492,Sun Apr 20 16:00:54 2025 -0400,Katherine Whitlock,5,Add Pd folder and initial object (#3596)
a01e2235c3aacc4c5769d96729f9c47f9c63757c,Tue Apr 15 22:32:25 2025 -0400,Sean Ditny,3,Fix crash with grid view loop recording (#3610)
6a8f6ff3a2d1f28b3cba629daa9ad5ca3b3506b9,Fri Apr 11 18:57:18 2025 -0400,Sean Ditny,5,Update shortcuts for randomizing drum samples (#3546)
4ee99b407abb714ae33739f4936c83e53ff8cfc2,Fri Apr 11 18:26:58 2025 -0400,Mark Adams,4,Bugfix/dont buzz on crashes (#3584)
7026b6aa28f0eca23807bc93b1b166c826fed30f,Thu Apr 10 17:38:17 2025 -0400,Mark Adams,4,initialize everything (#3582)
caff2d3c10fc306940e22c165e85efc82a9be4f4,Mon Apr 7 20:53:59 2025 -0400,Mark Adams,3,Bugfix/unreachable perc cache code (#3569)
a805ec3c61917bbd7fae1bc3a50b00d888e85e80,Sun Apr 6 08:22:08 2025 -0400,Mark Adams,2,always give arp note a channel if midi or cv (#3559)
e56d5595d45b8bdd7e61c40015fe29f246ca72ac,Tue Apr 1 01:27:21 2025 +0200,mgabor,2,Integrate Posthog (#3539)
9e3428074ecf2e08a19f7808d70b869983700b07,Sat Mar 29 17:41:55 2025 -0400,Mark Adams,5,"remove reasons from clusters in voice destructor, fix move constructors to avoid double freeing (#3528)"
e6d934683dceca5da8260c5bc30dd81e58fbb6c8,Wed Mar 26 05:58:10 2025 -0400,Katherine Whitlock,2,Fix culling priority selection (#3503)
c2b2add0b03927141a4c8829503a3775d4997726,Sun Mar 23 18:50:47 2025 -0500,Metamere,4,Replace loading and saving popups with procedural animations (#3304)
792b6dbef9e9610dceafcdaf886a07caab752ed5,Sun Mar 23 18:24:52 2025 -0400,Sean Ditny,5,Updated horizontal menu controls (#3506)
e949f84952e83e5d727664f149e274e232d46548,Fri Mar 21 14:20:15 2025 -0400,Sean Ditny,2,Enable audio output scorlling in arranger view (#3496)
910df76bbcd948b8afd15d87a255a9f01ff476cb,Fri Mar 21 14:19:48 2025 -0400,Mark Adams,3,revert change to audio selector rendering as it causes crashes and other UB (#3497)
ba3252117a0495e49d0243dc6391f6377eea87cb,Tue Mar 18 22:19:07 2025 +0100,s.e.s,2,update midi2deluge python scripts (#3487)
350afb39ed180b1d31e3ccc314c2ea269976692b,Tue Mar 18 01:38:45 2025 +0100,Raúl Muñoz,3,Misc fixes for automation view (#3484)
ca2ec2232c167ecf7cf7901dac50ba0eb43ee3d9,Sat Mar 15 16:54:38 2025 -0400,Katherine Whitlock,2,Move Song default initializers to the member declaration (#3458)
247e547a24fffe089b2552dede3345bcc087e87b,Sat Mar 15 16:53:54 2025 -0400,Katherine Whitlock,2,Refactor how audition and mute pads are colored in ArrangerView (#3463)
7bff00e7e4e723c3c1db17074b19ed834de56395,Sat Mar 15 16:52:56 2025 -0400,Katherine Whitlock,2,Combine dbt.cmd and dbtenv.cmd (#3469)
00076cdba498c502a63dbdae74e2df5979179301,Sat Mar 15 16:52:19 2025 -0400,Katherine Whitlock,3,Storage function to std::span (#3441)
1090b1c8e780c448f8ae7bbe340d13366eb4874e,Tue Mar 11 07:37:07 2025 -0400,Katherine Whitlock,3,Use pragmas for unrolling renderCrudeSawwave (#3435)
333f93c28a478a28796c4a6e25bc8136e20d654f,Mon Mar 10 18:35:55 2025 -0400,Sean Ditny,2,Add kit arp shortcuts to kit fx menu (#3466)
c74b16e5ed420cc77cfa7f206a221a5f850cd605,Mon Mar 10 17:25:12 2025 -0400,Sean Ditny,4,Set stutter default to quantized (#3464)
6652322ebbb646e57938a1b184b85e9fe126f009,Mon Mar 10 11:28:59 2025 -0400,Katherine Whitlock,2,Move arranger default construction values to the member variable declarations (#3462)
d94626348d6f4b16bcaa19b304a4d081c9d1b10d,Sun Mar 9 23:19:02 2025 -0400,Katherine Whitlock,3,Update github scripts (#3457)
7a2d0fc34d1a494817976b8efba3699cbcecb836,Mon Mar 3 19:26:42 2025 -0800,Mark Adams,5,"Revert ""Remove AlignedBuf and replace with alignas(n) std::array (#3411)"" (#3444)"
1f45fd418494012b347f575d88fea1e83916fe13,Sun Mar 2 16:22:09 2025 -0500,Katherine Whitlock,4,Convert renderWave to Argon (#3433)
78295042ee703c8d7605fb6510fb2276ee4af3db,Sun Mar 2 15:54:03 2025 -0500,Katherine Whitlock,4,Convert renderPulseWave to Argon (#3434)
81d432ac82b158cc08230a966f35e3a268f32014,Sat Mar 1 19:42:39 2025 -0800,Mark Adams,3,gross but functional handling of cv 1+2 (#3432)
ce19964f84784c0bcef9cd2a2f9966884a183780,Sat Mar 1 20:02:40 2025 -0500,Katherine Whitlock,5,Fix includes in DSP subfolder (#3429)
3b4ef139cedda0597f65956eff176a353fa70404,Sat Mar 1 11:44:52 2025 -0500,Katherine Whitlock,5,Remove AlignedBuf and replace with alignas(n) std::array (#3411)
5066b2729e6552b9dbe40d83ab8ac26674de9139,Mon Feb 24 12:31:03 2025 -0500,Katherine Whitlock,2,Convert voice arrays to std::array (#3414)
dbace202423f2db98736845d0e936126c93cd63a,Sat Feb 22 01:21:53 2025 +0100,s.e.s,3,Bugfixes for pattern feature (#3405)
68c7231e6a72b2552a57f5917f5e98b745fbfa89,Sat Feb 22 01:21:01 2025 +0100,Raúl Muñoz,2,Fixed Arp Seq Length functionality (#3398)
ee8b3a0d2215cf0d0b82c8a8fe0863c82f2604e0,Thu Feb 20 18:28:48 2025 +0100,Raúl Muñoz,3,Improved docs for the arpeggiator Randomizer params (#3399)
98e95fd916908fa94e0b4c9327f93a753aeec48b,Tue Feb 18 12:22:23 2025 +0100,Raúl Muñoz,3,Remove Volume Post Reverb Send from automation view and midi follow (#3392)
b50231fe51dc1bf0c5917554ad1f292b34811bab,Sun Feb 16 17:26:18 2025 -0500,Sean Ditny,2,Update midi follow feedback to check context (#3387)
6adac2f33887b4c1498c831e6f748075e7e0be83,Sun Feb 16 18:42:51 2025 +0100,s.e.s,2,Adding Documentation to Feature List and Changelog (#3390)
43da502946790a6a6de2efd6f938892bc0260a58,Sat Feb 15 12:05:12 2025 -0500,Katherine Whitlock,2,clang-tidy: ignore magic numbers (#3384)
69d3fecfd196e06c3cdb80df32a10979efd52602,Mon Feb 10 18:31:27 2025 -0500,Mark Adams,3,put stealable sample files in stealable region! (#3368)
be43061c09c115943b6f77e8083d95cf3db11bd6,Mon Feb 10 15:11:48 2025 -0500,Mark Adams,2,move layouts to data from bss to fix initialization order bug (#3367)
0157b8343829df05d43264dacfa233eea517e5ae,Sun Feb 9 23:51:44 2025 -0500,Mark Adams,2,move arm exception tables to sdram (#3355)
ab579db45c4de0d9b59275901b686ac14897fb59,Sun Feb 9 20:28:04 2025 -0500,Mark Adams,5,Use frunk better (#3353)
5a31ec450332500a27c4a0bdfd4d0089200d286c,Sun Feb 9 07:55:03 2025 +0100,Queroland,5,MidiFighter Twister Mappings (#3347)
33886211dbcd5485f869e0959564e28f5e3c5fab,Sat Feb 8 13:48:21 2025 -0500,Katherine Whitlock,2,Fix clang-tidy action from external repos (#3348)
3facf8ad1d58b6507aaf5b96711dc59230e773f7,Wed Jan 15 16:02:34 2025 -0500,Mark Adams,3,"Revert ""Move String backing storage to std::shared_ptr<std::string> (#3219)"" (#3286)"
4f43b9f2b0176a2e0d667782097497b79adbae70,Sun Jan 12 19:23:16 2025 -0500,Mark Adams,4,Bugfix/dont realloc active kit rows (#3275)
46bcc6238a342f4bc825f3df603f90e43929561a,Wed Jan 8 18:42:19 2025 +0100,Moritz Weigt,2,"Fix: When using the backspace in the keyboard when searching samples, it doesn't re-search (#3227)"
54bdd9ff00a79b289422dee4b7a62b6db0d7aed5,Tue Jan 7 20:32:44 2025 -0500,Mark Adams,2,show a popup for audio clip type change on 7seg (#3234)
cb286e9884b92a0419662abf539e1dcf4cc0d268,Tue Jan 7 18:15:25 2025 -0500,Katherine Whitlock,3,Move String backing storage to std::shared_ptr<std::string> (#3219)
a130acd973df7dbeea64e530b9a5e9a28c064599,Tue Jan 7 14:18:00 2025 -0500,Katherine Whitlock,2,sizediff dbt task (#3233)
2ad07a5ccc426dc1350bbe72624ce1beaf72d7ba,Mon Jan 6 00:29:37 2025 -0500,Mark Adams,4,Improvement/gma alignment (#3220)
e940ee1b3e0e170e839e93f36e8fc09fdb08160c,Sat Jan 4 11:27:42 2025 +0200,Nikodemus Siivola,2,missing changelog and community features entries for clip name stuff (#3205)
623f58068a785b08069627b830acc60606b58e3b,Fri Jan 3 22:09:41 2025 +0200,Nikodemus Siivola,3,simplify SoundEditor::beginScreen() and updatePadLightsFor() logic (#3193)
5a7ca2bc93c18571a694555d6e0ad2c7fa782142,Thu Jan 2 18:49:17 2025 +0200,Nikodemus Siivola,4,"add section number to clip names, copy clip names along with clips (#3195)"
e2e8a560c7801969681c50275cd2477b5428f0a3,Mon Dec 30 11:27:47 2024 -0500,Katherine Whitlock,3,Change label storage to std::string (owning) (#3179)
547b62b18015808f399c6d5cc847961512cd9090,Wed Dec 25 21:52:03 2024 -0500,Katherine Whitlock,2,Fix CMake Build Scripts (#3156)
bf5f4af42b9c9da570e7d0f3c4b78cbd385a5a15,Wed Dec 25 12:26:31 2024 -0500,Sean Ditny,2,Removed high cpu usage indicator from docs (#3144)
334c8749c1841bcebaae86db95b08d31aaaded3b,Tue Dec 24 18:18:51 2024 -0800,ok-reza,2,Add files via upload (#3137)
c197b3ef4e92911b88573820532325a5b8418203,Tue Dec 24 10:26:07 2024 -0500,Sean Ditny,4,RWCL Fix #2: Replace RWCL with Yield in Preset scrolling functions (#3123)
cab4339101e6e5d6a82731c4c0ee9746a28c7fa0,Sun Dec 22 16:42:06 2024 -0500,Mark Adams,2,change chord interval storage from int32 to int8 (#3117)
14a92cf57e71776847f48ce707f0f6ec3f25fa70,Sun Dec 22 16:39:35 2024 -0500,Katherine Whitlock,5,Continue refactoring Voice (#3113)
6f485020ec2a18c2e6db42bb9ceb38c887cfe9c7,Fri Dec 20 19:15:20 2024 -0500,Katherine Whitlock,3,Refactor vector rendering functions with Argon (#3106)
419f76f7a6b8d10b43bedb7465a013ab8bda67d6,Fri Dec 20 17:09:42 2024 -0500,Sean Ditny,3,Fix note and note row editor menu entering for midi and cv drums (#3103)
b8de3eb79d5d1d6170ed426fa0f5aa21582ec950,Fri Dec 20 15:14:27 2024 -0500,Katherine Whitlock,3,Fix sync issue (variable writeback) (#3102)
e214eee739205439f44494915844dbc5084ddb0b,Fri Dec 20 11:05:45 2024 -0500,Katherine Whitlock,2,Switch globally-initialized C arrays to std::array (#3100)
442048b44b3ceb47bfe7e5f5538f33e9ebecf362,Tue Dec 17 22:35:59 2024 -0500,Katherine Whitlock,4,Use VCVT for Q31 conversions (#3090)
9f4fe7798900e3fd385c469fa3028de3a42436c9,Sun Dec 15 23:48:07 2024 -0500,Sean Ditny,3,Update audio export docs (#3077)
c44d2476f4a3db20c9cff28692b3db32fbf71afb,Sun Dec 15 15:39:08 2024 -0800,Mark Adams,4,enable l2 instruction cache only (#3072)
be88a68c9ca6d088a472cd6ba8f763b4953c965d,Sun Dec 15 17:18:23 2024 -0500,Katherine Whitlock,2,Fix Reverb model (FREEVERB) for old songs (#3070)
45d3a29e14a61484e7d23f8e9d68b9a60d825946,Sun Dec 15 13:14:10 2024 -0800,Mark Adams,5,cull softer to avoid clicks since the scheduler makes large buffers safer anyway (#3067)
15db01aa8aaf0f0a49982deabcb5b1b31347b1d7,Thu Dec 12 15:20:03 2024 +0200,Nikodemus Siivola,5,follow-up to loosening clip-naming restrictions (#3056)
46d1a069713de2c88691cae5fe6fe1f6e69496e7,Tue Dec 10 15:01:21 2024 -0500,Katherine Whitlock,2,Use local paths in docs (#3047)
a10216a4b0223b4dfe38243f2025bdcdd601c705,Tue Dec 10 17:59:00 2024 +0200,Nikodemus Siivola,4,some stray v13 toolchain references in IDE configs updated to v16 (#3039)
6e3e7a93e49190ff9ea3af5ca8702939819183f6,Mon Dec 9 19:48:59 2024 -0500,Sean Ditny,3,Stop scrolling during playback (#3032)
fdf6f7c6cf12a69a728eaf727676e24c579d6af7,Mon Dec 9 19:42:44 2024 -0500,Sean Ditny,2,bugfix automation view shortcut blinking (#3030)
189e95edec640f5b68e78c0a3582e859b856447e,Thu Dec 5 21:25:42 2024 -0600,Jamie Fenton,2,Update SysEx code to better support multiple open web browser windows. (#3013)
e639e99c56a676e2a17b29f004ffcf022932ac1a,Mon Dec 2 22:08:28 2024 -0500,Mark Adams,2,Performance/precompute schedule timings (#3007)
aa143d939ed089cd84721629a30ba2f7e43e474b,Mon Dec 2 19:48:50 2024 -0500,Mark Adams,2,setup dx7 when dx oscillator selected (#3004)
5733f49424b61ee563a921a85715f0a9a2a67892,Sun Dec 1 20:19:21 2024 -0500,Mark Adams,2,exit auditioning before renaming drum (#3003)
5f1e0ad6fbfab9b8c54516bea225415115055dc0,Tue Nov 26 12:47:08 2024 -0500,Katherine Whitlock,4,Remove macros from voice (#2966)
815901730ee955457d451c0eabdd0bde46b60e99,Mon Nov 25 14:41:22 2024 -0500,Katherine Whitlock,3,Fix some minor tooling issues (#2979)
de8f3daaf285a62cd5e99f7a675db7da01d62eed,Sun Nov 24 12:18:14 2024 -0500,Sean Ditny,3,Fix stem export with song fx (#2955)
ddef273a0bbf303bd5fac258986c23f977e22a2e,Sun Nov 24 02:37:38 2024 -0500,Katherine Whitlock,2,Fix initializer for Mutable Reverb LFOs (#2970)
4dbbbf313326b23d5bf5dde2ae5a139601b4a8a7,Sat Nov 23 16:51:17 2024 -0500,Katherine Whitlock,2,Extract AmplitudeVector creation to own function (#2961)
dc7216de88ad7b5aae7d495c68f07cd732ae1d85,Sat Nov 23 15:28:49 2024 -0500,Katherine Whitlock,5,Refactor Sine Oscillator (#2949)
5afe35d1712a4d5e90e3b818e9fd1084b2073569,Thu Nov 14 10:48:25 2024 -0500,Sean Ditny,4,Fix alt playback start behaviour (#2898)
